canister	endpoint_or_flow	scenario_key	count	total_local_instructions	avg_local_instructions
audit_leaf_probe	audit_time_probe	app:canic_time:minimal-valid	1	20680	20680
audit_leaf_probe	audit_env_probe	app:canic_env:minimal-valid	1	22330	22330
audit_leaf_probe	audit_log_probe	app:canic_log:empty-page	1	302876	302876
audit_root_probe	audit_subnet_registry_probe	root:canic_subnet_registry:full-registry	1	64512	64512
audit_root_probe	audit_subnet_state_probe	root:canic_subnet_state:empty-struct	1	20245	20245
audit_scaling_probe	audit_plan_create_worker_probe	scale_hub:plan_create_worker:empty-pool	1	52061	52061
scale_hub	create_worker	scale_hub:create_worker:first-worker	1	2650150	2650150
user_hub	create_account	user_hub:create_account:first-account	1	2944415	2944415
root	canic_request_delegation	root:canic_request_delegation:fresh-shard	1	2168632	2168632
test	test	test:test:minimal-valid	1	816	816
root	canic_response_capability_v1	root:canic_response_capability_v1:request-cycles-fresh	1	1479508	1479508
root	canic_template_stage_manifest_admin	root:canic_template_stage_manifest_admin:single-chunk	1	415287	415287
root	canic_template_prepare_admin	root:canic_template_prepare_admin:single-chunk	1	186297	186297
root	canic_template_publish_chunk_admin	root:canic_template_publish_chunk_admin:single-chunk	1	335144	335144
