experiment	condition	repetition	artifact_id	canister	wasm_bytes	gzip_bytes	code_section_bytes	data_section_bytes	ic_wasm_total_functions	replica_limited_defined_functions	optimizer_defined_functions	table_minimum	element_entries	wasm_export_entries	ic_wasm_exported_methods	candid_bytes	candid_service_methods	wasm_sha256	gzip_sha256	candid_sha256	optimizer_before_raw	optimizer_before_gzip	optimizer_before_code	optimizer_before_data	optimizer_before_functions
b1-05-relevant-cbor-stub	baseline	b	canonical_app	app	2887487	1039109	2650724	200031	4709	4672	4672	922	921	10	9	28177	4	97d220bd0e920a4fc80194ec625cbf4f5539239fca31899a1c821abadfaf3105	a46489a3f9ccb0b45b8c564578118ac19d128ed6db8f18f008185b0767dd7b0e	23a46a416a5337268ac729a02ef9d53d350e2adc0fe847d5f80097f01acf48b8	3067317	1020355	2827346	202577	5369
b1-05-relevant-cbor-stub	baseline	b	canonical_index_hub	index_hub	2672278	960517	2444607	191610	4385	4346	4346	860	859	10	9	27959	4	a8f48c04cce8bb0c540fdf6ca9a16682bb2d3ec66304b240da521ab0cf701cd5	6efa5d967dddb4e357ac97ea1f5336b38bb05d802f606942370df960f0225dbf	f8dde730be71f9ddb0224dfb8f365685f2579d880cc37e98a6886b0535180c44	2843118	943205	2612651	193761	5056
b1-05-relevant-cbor-stub	baseline	b	canonical_test	test	3202049	1139956	2944773	214102	5228	5189	5189	973	972	12	11	33804	6	55681c9b6d82f5b41232bd78c7ef9198a2aa1324a7907b826c015f5cb7f818a5	df42afd9be60fe93e0c82b8d8682eb593f7703a66c3f598f25058f1ab16ccae5	d11737484d3563127fb6cb9f76d439a9f3e72556e977f70733e7d338985a4ad6	3403236	1119760	3142734	216629	5940
b1-05-relevant-cbor-stub	baseline	b	canonical_user_hub	user_hub	3330766	1188810	3072247	218262	5512	5473	5473	980	979	15	14	30421	9	c623a4c38fc7d47c2a8488cd081fb187f7246c4cda01837841f8bf9d838ce907	de10039b7cb6d8ab0343c4fb984ead83053994ed746700366069f1fd2fb5dfed	905207f61736c3c53ed54fda3dd68252c44065199c26b194f2770d26368d4c16	3538804	1171866	3276982	220849	6256
b1-05-relevant-cbor-stub	baseline	b	canonical_scale_hub	scale_hub	3252038	1157860	2997048	215869	5334	5295	5295	965	964	12	11	29665	6	abcb847170bcf4d0377d54dc74e3c2a81486869bac2ab086ca391a5dbfc4b4ec	f0ec86412d4baff1eb033bef4f0d1d92171d5eb590cf12869d4434e6d5dfe6aa	a4f07b544ad72d4fbe8dae44d64578f016f6b68aa95d89e9795724ea2c9dd5cb	3457034	1141414	3198807	218405	6062
b1-05-relevant-cbor-stub	baseline	b	canonical_index_child	index_child	2443555	885988	2224620	184718	4035	3996	3996	837	836	10	9	26552	4	0efe52686bf393b1de7858533639d60e3736fe5ee44f2eca607f55aaa74e7e5d	3f67f975ee512ee7909213ba729e615bb3e2bf9861294375c80af81736473444	e48c0cd06b2226b109bc232f10a3b0bfc2349974ac668fc26d28ae238da06b55	2599776	868569	2378085	186873	4653
b1-05-relevant-cbor-stub	baseline	b	canonical_user_shard	user_shard	3259121	1161359	3001399	214720	5384	5341	5341	977	976	14	13	33290	8	47ba4a8995d6af595f9af9bb61af14b5c9ac7fbf191526a7d29e510d19829917	7c98a3b8ffe44938bd1bda97e8d9adc3da8d9d37ebb68395b3fef485839ec48d	71ee0c358fad225f964aa71e01af12a3c08a72829c6fff189fc5d57d70698a96	3464190	1140945	3203202	217277	6103
b1-05-relevant-cbor-stub	baseline	b	canonical_scale_replica	scale_replica	2898215	1044091	2660428	200393	4737	4700	4700	925	924	11	10	28760	5	d8a947d1876d0a7c730890e8f8ca9b84717ca117c84b037e5c33f71b6b0df280	1566e328b371aed33d2d2be420be994715622717c86c3ad470096b7f80d60887	a908ffd66c6777c6e00f587e85a80ccbe09513f73dfc09433fefec93dec4a344	3078355	1025138	2837328	202969	5399
b1-05-relevant-cbor-stub	baseline	b	canonical_root	root	7097122	2523692	6659744	333758	9641	9596	9596	1652	1651	12	11	88042	6	3f089a830fd9253b13ebf0cc4015a9f8339c8b861119382c4334dde83a27d34b	8c61acf60d1a43e794b1b9590809823dc585ccb3adc1837e28e1bf1e8372b4c5	806dde0018643605d58f496261e48ca0950db5391463c887c24c3bb34e63e4b4	7543046	2454703	7100961	337125	10983
b1-05-relevant-cbor-stub	baseline	b	canonical_fleet_coordinator	fleet_coordinator	3497977	1215581	3247309	199123	4497	4463	4463	883	882	7	6	43510	2	99912d80cd27cbf7a80b6b3cf4526c08b682a63dd306294e0d8a2816eaa5b767	7c7c37fff6ba4522e3ec8f01cb64e3ad2f209e70deb354ffae5b82e4dfeee1dc	51fd22fd1e9c038d673fdabc6ea02881e12179199c73974f7d4637477e0d5c66	3721861	1182054	3468047	201465	5324
b1-05-relevant-cbor-stub	baseline	b	canonical_wasm_store	wasm_store	2452131	890086	2254620	177039	4283	4244	4244	840	839	11	10	12459	5	9917751b526409179968fc949232ad9961f5e52948a0aa864d56061caaed3fd8	48609888291021b47252993b9f3ff58a18aa0457ba3c2802dcb56be6357b4d21	89e2f95c4ac284c099e95d2102df8995e0f5332c50a85e3f3d2ffed918e16fa6	2608460	870170	2408151	179229	4922
b1-05-relevant-cbor-stub	baseline	b	runtime_probe	test	2410089	873780	2198713	188732	4231	4192	4192	857	856	15	14	14496	9	417ff5ef976bbaea633e016aa00aad062921592fdc97832ae468a7ab1ad1cf1c	240f25da56a7ec48cbeb8936eb403ba217030a56d4fa66295658e98603f2401c	39b18ad0b2589f36dd6b46cb1ae6704d83e6893fb224bda2daf189d952e1f96b	2567082	859479	2352657	191253	4779
b1-05-relevant-cbor-stub	baseline	b	blob_storage_probe	test	2299125	834305	2092495	182113	3989	3950	3950	828	827	25	24	16015	19	2c74d12d9bcc1db4273b07adac6d93a74f1b76bef1dce9e71606af9e2e89e514	c446d3808f0f95fe2d1758ca653426286346e7f2a04001be9252ea8b59913b44	607642a82f5792b88be3d15b0de7eb179b94a67bb290693700a62888a87a51a8	2446176	817736	2236858	184253	4549
b1-05-relevant-cbor-stub	variant	a	canonical_app	app	2183839	807053	1954585	193063	4303	4266	4266	872	871	10	9	28177	4	8bbc09405570f4bb39675da715170508437a1aa77fe2d1c686325fd0e7b16adb	1fd1123235b8253a20c32375f96ace8eea58ce6b9b60a8229526747d837a7738	23a46a416a5337268ac729a02ef9d53d350e2adc0fe847d5f80097f01acf48b8	2333188	791590	2100908	195537	4841
b1-05-relevant-cbor-stub	variant	a	canonical_index_hub	index_hub	1989111	734999	1768931	184658	3984	3945	3945	811	810	10	9	27959	4	353247dd28a9b684c28a2a6012f1b5dd52c814c08c95b3afb7076137da2b49e4	dfa4e436073e266d6104a8eb7346d0984ceeedcbfadc4d834f2a44e90f84c20a	f8dde730be71f9ddb0224dfb8f365685f2579d880cc37e98a6886b0535180c44	2129650	722984	1906889	186721	4522
b1-05-relevant-cbor-stub	variant	a	canonical_test	test	2497762	906103	2247921	207212	4815	4776	4776	925	924	12	11	33804	6	04c01295914ce24a05ad83f918e69733d4616f496554875995587e850c1b5e39	e472135b9cd61499e18ef4c2ee54246c9372875561b86f80f701ee8e9ed608fe	d11737484d3563127fb6cb9f76d439a9f3e72556e977f70733e7d338985a4ad6	2668625	889884	2415685	209717	5405
b1-05-relevant-cbor-stub	variant	a	canonical_user_hub	user_hub	2617434	950642	2366419	211307	5105	5066	5066	932	931	15	14	30421	9	ea245d6a8cdf01d78665e1f7fc6e8d41048f9125efd629218abb62613b504cec	3bf72e02ad43101b65e7ba1f35d176a6adedd01b6075be9824bbb1059e879208	905207f61736c3c53ed54fda3dd68252c44065199c26b194f2770d26368d4c16	2794736	938067	2540612	213809	5722
b1-05-relevant-cbor-stub	variant	a	canonical_scale_hub	scale_hub	2545184	922885	2297713	208897	4928	4889	4889	917	916	12	11	29665	6	5c9d8261129dfef8f2b6c23cd6d43db540162f5292c3e3d703e1e9eafc9a812d	115ecae4e182b1179a5dcff6084cf8767915a5a6b0a5ee45084fde7e89708593	a4f07b544ad72d4fbe8dae44d64578f016f6b68aa95d89e9795724ea2c9dd5cb	2719568	909364	2469037	211365	5530
b1-05-relevant-cbor-stub	variant	a	canonical_index_child	index_child	1841973	683670	1628832	179386	3685	3646	3646	797	796	10	9	26552	4	ae43c1ef8fe628ad5967ffed139121d691ea7399bd7ebf4203cb1d553fd9a382	42290b6242cd54a931b47cd90370f40ce60749d812403bdc3a9e396ef9bdcccd	e48c0cd06b2226b109bc232f10a3b0bfc2349974ac668fc26d28ae238da06b55	1973347	669799	1757594	181497	4196
b1-05-relevant-cbor-stub	variant	a	canonical_user_shard	user_shard	2554792	928707	2304567	207766	4973	4930	4930	929	928	14	13	33290	8	c0879fc657c3e58da17f0ebb2b8f997f82000957f96761d9e6a0f736258e00c6	f0feb541e5bb08529d798cfbe022ec6f26f45b309147b9220a66f29418b76ebb	71ee0c358fad225f964aa71e01af12a3c08a72829c6fff189fc5d57d70698a96	2729605	911476	2476300	210237	5575
b1-05-relevant-cbor-stub	variant	a	canonical_scale_replica	scale_replica	2194582	811873	1964306	193423	4331	4294	4294	875	874	11	10	28760	5	414969f89bdf3def0209b7064dd28bd02ac15788f49cf94825e99745a163c547	aa4c4152579d33107817de4dbabd940d7d74a3f8810183ebb9f9f803c0809e0a	a908ffd66c6777c6e00f587e85a80ccbe09513f73dfc09433fefec93dec4a344	2344098	797160	2110890	195801	4871
b1-05-relevant-cbor-stub	variant	a	canonical_root	root	5275517	1939561	4855222	317878	8704	8659	8659	1545	1544	12	11	88042	6	77c6e733ab734f10ebc2a82bf8e4a2593f6fe95891e436f2f9aabe435be3fd9e	6fb518fd492df40c6ac5763fb142cb5be9444c1c92a9ce9f61bb351a5397614b	806dde0018643605d58f496261e48ca0950db5391463c887c24c3bb34e63e4b4	5635646	1885608	5211145	320997	9781
b1-05-relevant-cbor-stub	variant	a	canonical_fleet_coordinator	fleet_coordinator	2102265	770490	1866493	185219	3738	3704	3704	789	788	7	6	43510	2	8e0d8eaffe89804148819c492412c9ae6eb3053e3ece6f4df2a63c128f4fbcdb	106854a8dd07c65c6106308afe2235d4593e9b1f0385f445d8607fc240d86f58	51fd22fd1e9c038d673fdabc6ea02881e12179199c73974f7d4637477e0d5c66	2258368	757803	2019999	187257	4303
b1-05-relevant-cbor-stub	variant	a	canonical_wasm_store	wasm_store	1757631	659674	1570131	167619	3835	3796	3796	789	788	11	10	12459	5	07232302696c8dd8aee885b6845ea7dc824f4035c28b2756b829f9af7e301ae0	c2d869fdf9a653da9351a7898569b3f2283bd6aef0b066bc6ce99ce424fa5ef5	89e2f95c4ac284c099e95d2102df8995e0f5332c50a85e3f3d2ffed918e16fa6	1884274	648274	1694131	169757	4367
b1-05-relevant-cbor-stub	variant	a	runtime_probe	test	1817588	672572	1615154	180247	3874	3835	3835	814	813	15	14	14496	9	146f252bbdac676c23920d48db75d8307a4eaa000fbde4c7efe555611f0336d4	9f9973d8432dabade8a15181789cdafd8898ce5a22c57a892dff71130989f3ee	39b18ad0b2589f36dd6b46cb1ae6704d83e6893fb224bda2daf189d952e1f96b	1949586	665620	1744296	182677	4321
b1-05-relevant-cbor-stub	variant	a	blob_storage_probe	test	1686594	628340	1489058	173473	3644	3605	3605	785	784	25	24	16015	19	dda08c0386276d95efdabe3e41214640769cd88a47571ec2a5ec2861a6c7e19a	cff7163f1a36f0aaff5dfaa22404d1972ca02826e9e47b5aa2bc6ddcf49d0a52	607642a82f5792b88be3d15b0de7eb179b94a67bb290693700a62888a87a51a8	1809072	617645	1609014	175549	4097
b1-05-relevant-cbor-stub	variant	b	canonical_app	app	2183839	807053	1954585	193063	4303	4266	4266	872	871	10	9	28177	4	8bbc09405570f4bb39675da715170508437a1aa77fe2d1c686325fd0e7b16adb	1fd1123235b8253a20c32375f96ace8eea58ce6b9b60a8229526747d837a7738	23a46a416a5337268ac729a02ef9d53d350e2adc0fe847d5f80097f01acf48b8	2333188	791590	2100908	195537	4841
