experiment	condition	repetition	artifact_id	canister	wasm_bytes	gzip_bytes	code_section_bytes	data_section_bytes	ic_wasm_total_functions	replica_limited_defined_functions	optimizer_defined_functions	table_minimum	element_entries	wasm_export_entries	ic_wasm_exported_methods	candid_bytes	candid_service_methods	wasm_sha256	gzip_sha256	candid_sha256	optimizer_before_raw	optimizer_before_gzip	optimizer_before_code	optimizer_before_data	optimizer_before_functions
b1-14-command-providers	baseline	a	canonical_wasm_store	wasm_store	2452131	890086	2254620	177039	4283	4244	4244	840	839	11	10	12459	5	9917751b526409179968fc949232ad9961f5e52948a0aa864d56061caaed3fd8	48609888291021b47252993b9f3ff58a18aa0457ba3c2802dcb56be6357b4d21	89e2f95c4ac284c099e95d2102df8995e0f5332c50a85e3f3d2ffed918e16fa6	2608460	870170	2408151	179229	4922
b1-14-command-providers	baseline	b	canonical_app	app	2887487	1039109	2650724	200031	4709	4672	4672	922	921	10	9	28177	4	b1617900f6cd40f5b253d75a496931b01dd5bdaf3cdbe1e46ae0f2444559a1e5	b7df2b5cad1389a9d1321427d8e1aa41bed9ce9931e101367bea7a179d1dbd28	23a46a416a5337268ac729a02ef9d53d350e2adc0fe847d5f80097f01acf48b8	3067317	1020355	2827346	202577	5369
b1-14-command-providers	baseline	b	canonical_index_hub	index_hub	2672278	960516	2444607	191610	4385	4346	4346	860	859	10	9	27959	4	d5c19a84d4b4e07d2bd4af98136b12a87619f7ad1f787d140f954a56526fe15f	91f9b08f298958b446fd1a7e842ebef5457488aa8d7bc8dc921bad78d2f0928c	f8dde730be71f9ddb0224dfb8f365685f2579d880cc37e98a6886b0535180c44	2843118	943204	2612651	193761	5056
b1-14-command-providers	baseline	b	canonical_test	test	3202049	1139956	2944773	214102	5228	5189	5189	973	972	12	11	33804	6	fd64db4b3b1a43464c1760f3fcda345d59532e6ebf5d8b9499bfba0f8d8c8a90	d1192e88ebfc56e22135e18cd6d0b08e677afa4bf3c252dde612bdecc7ae5cc0	d11737484d3563127fb6cb9f76d439a9f3e72556e977f70733e7d338985a4ad6	3403236	1119759	3142734	216629	5940
b1-14-command-providers	baseline	b	canonical_user_hub	user_hub	3330766	1188810	3072247	218262	5512	5473	5473	980	979	15	14	30421	9	015e7ea6899f9a3f2cad81572234890007a05b2fce4b7c8d0c8fb51e816c7876	fa1ee83c9a8a69b10b862f421de30a6207ee369e2bffab02bb9d55387166503a	905207f61736c3c53ed54fda3dd68252c44065199c26b194f2770d26368d4c16	3538804	1171866	3276982	220849	6256
b1-14-command-providers	baseline	b	canonical_scale_hub	scale_hub	3252038	1157859	2997048	215869	5334	5295	5295	965	964	12	11	29665	6	2e098214756d312dd56c8804b82c607d821e86cbbefdf50a0a9c7449b5b5be53	f4c29581ccc9ea01a06c5d80d2c4ed3cc6c90596171872dbaee0f7dcc4be1e2a	a4f07b544ad72d4fbe8dae44d64578f016f6b68aa95d89e9795724ea2c9dd5cb	3457034	1141414	3198807	218405	6062
b1-14-command-providers	baseline	b	canonical_index_child	index_child	2443555	885987	2224620	184718	4035	3996	3996	837	836	10	9	26552	4	62f3d1d591dd4f86bb18a79f078d986588ab0c61e7ef00e717a4902d648e444e	e1e7833141c382c6e9c3ddb9d77d7da043434f0c23d9325424310fb0a283d4cc	e48c0cd06b2226b109bc232f10a3b0bfc2349974ac668fc26d28ae238da06b55	2599776	868569	2378085	186873	4653
b1-14-command-providers	baseline	b	canonical_user_shard	user_shard	3259121	1161359	3001399	214720	5384	5341	5341	977	976	14	13	33290	8	a654ed5ea0d028a4c58764989030b1b9422abe6ecb9adca35df39d235d465178	dcf8554949bf32bd2a9d343e224ff95e44661832977f44fe0016beaa266f8d9c	71ee0c358fad225f964aa71e01af12a3c08a72829c6fff189fc5d57d70698a96	3464190	1140945	3203202	217277	6103
b1-14-command-providers	baseline	b	canonical_scale_replica	scale_replica	2898215	1044090	2660428	200393	4737	4700	4700	925	924	11	10	28760	5	4e85e8b96e4738912d5ad12fa64a5dea3e67e6eecce64d7b577b11fb703d8174	8a9259d2d6d50edd20be58ed1fd3831704f408e8b2d98dc5a6d85ec5631670f5	a908ffd66c6777c6e00f587e85a80ccbe09513f73dfc09433fefec93dec4a344	3078355	1025138	2837328	202969	5399
b1-14-command-providers	baseline	b	canonical_root	root	7097155	2523928	6659745	333790	9641	9596	9596	1652	1651	12	11	88042	6	6937cb6208d170d184f795fe9c4e7baf173c7b574144f4deb31d4fac4d7e1193	082ce6a89b613cf35dbf6bbb3a63b29ee0bdf575404f5b8df331b16c49b84514	806dde0018643605d58f496261e48ca0950db5391463c887c24c3bb34e63e4b4	7543047	2454974	7100962	337125	10983
b1-14-command-providers	baseline	b	canonical_fleet_coordinator	fleet_coordinator	3497977	1215581	3247309	199123	4497	4463	4463	883	882	7	6	43510	2	99912d80cd27cbf7a80b6b3cf4526c08b682a63dd306294e0d8a2816eaa5b767	7c7c37fff6ba4522e3ec8f01cb64e3ad2f209e70deb354ffae5b82e4dfeee1dc	51fd22fd1e9c038d673fdabc6ea02881e12179199c73974f7d4637477e0d5c66	3721861	1182054	3468047	201465	5324
b1-14-command-providers	baseline	b	canonical_wasm_store	wasm_store	2452131	890086	2254620	177039	4283	4244	4244	840	839	11	10	12459	5	9917751b526409179968fc949232ad9961f5e52948a0aa864d56061caaed3fd8	48609888291021b47252993b9f3ff58a18aa0457ba3c2802dcb56be6357b4d21	89e2f95c4ac284c099e95d2102df8995e0f5332c50a85e3f3d2ffed918e16fa6	2608460	870170	2408151	179229	4922
b1-14-command-providers	variant	a	canonical_app	app	2850944	1022823	2615568	198750	4632	4595	4595	912	911	10	9	28177	4	11de861ead0659e25b6cdf118885ffd0436282b8559ec9c2ec37ae182727be0f	5783d090bc89b9b9240e0e3b318f74dd818b97a1e6fc7c5dedd1f6b1517424f0	23a46a416a5337268ac729a02ef9d53d350e2adc0fe847d5f80097f01acf48b8	3027625	1005170	2789031	201297	5291
b1-14-command-providers	variant	a	canonical_index_hub	index_hub	2496325	899991	2275111	185558	4093	4054	4054	831	830	10	9	27959	4	5ebd2997e4d3a06dd7a00c81d82cae21b91fd6026f640984fbd975db0f568d6c	2405f0c503303e675be389faa1de71a102af983f865af476f8a48750b06ae07a	f8dde730be71f9ddb0224dfb8f365685f2579d880cc37e98a6886b0535180c44	2655142	883032	2431160	187697	4729
b1-14-command-providers	variant	a	canonical_test	test	3160314	1121960	2904475	212781	5140	5101	5101	963	962	12	11	33804	6	a907d95ca994be0b060b5af70e228eaa91bbaf18199c68c3516ac779e98d1c85	0e8094ff3dc94022ab12d80c4e6e1d5aa1b47c520e158f782a6cccfc26dd568c	d11737484d3563127fb6cb9f76d439a9f3e72556e977f70733e7d338985a4ad6	3357936	1101128	3098835	215337	5850
b1-14-command-providers	variant	a	canonical_user_hub	user_hub	3245920	1155156	2991884	214036	5332	5293	5293	962	961	15	14	30421	9	55ff1d28271326fbc99fc6d78a2ed1b9d2369ef8c02c71f9453c3bdda079e021	712839166df4ae596c4b891143cd8ca731f2e1f4855186fe9e288f1e83df432f	905207f61736c3c53ed54fda3dd68252c44065199c26b194f2770d26368d4c16	3448093	1137267	3190708	216653	6068
b1-14-command-providers	variant	a	canonical_scale_hub	scale_hub	3167223	1124254	2916725	211632	5155	5116	5116	947	946	12	11	29665	6	3702426138fa8ac91d38fbb75596c26b53ea6fc7c397e95cb3c15d8b225c68ef	657e29ca41738c674904328d1c3abc27a94ca028d7df127664f9ffc8fed47347	a4f07b544ad72d4fbe8dae44d64578f016f6b68aa95d89e9795724ea2c9dd5cb	3366172	1106516	3112383	214209	5872
b1-14-command-providers	variant	a	canonical_index_child	index_child	2409092	870952	2191462	183511	3966	3927	3927	827	826	10	9	26552	4	fab08e286479f14a548309364475991f20fcd6e7c237f080e0aaf39d3eef172d	646d9926a86ddf63a349734c3bc0db57c154b571f01a285db3232d568b2ef3a3	e48c0cd06b2226b109bc232f10a3b0bfc2349974ac668fc26d28ae238da06b55	2561868	854489	2341427	185721	4575
b1-14-command-providers	variant	a	canonical_user_shard	user_shard	3160200	1120544	2906270	211323	5143	5104	5104	959	958	14	13	33290	8	80fc1d90810b441d29a1b066513f760035f69bf81b0f36d63c9725745495cbed	54da2d8882dade3e97cf0bfe2320db148a1fbbedffbd63dd1dad1a43d852994b	71ee0c358fad225f964aa71e01af12a3c08a72829c6fff189fc5d57d70698a96	3358034	1100194	3100803	213913	5858
b1-14-command-providers	variant	a	canonical_scale_replica	scale_replica	2861672	1028205	2625272	199112	4660	4623	4623	915	914	11	10	28760	5	15ff97cafa5b72c96cdbb35913f866e99e7c57ac072e04d7daaaba4c4a7844ff	db14309b52f1aa90077290bf0e342fcf42a23ab56f46db8d0fd5caf20c03367c	a908ffd66c6777c6e00f587e85a80ccbe09513f73dfc09433fefec93dec4a344	3038663	1010143	2799013	201689	5321
b1-14-command-providers	variant	a	canonical_root	root	5453516	1881454	5065322	287665	7233	7194	7194	1453	1452	12	11	88042	6	604a1e7e9778b6b5727aae21437be49d4a08fdc66d276af5b73203111893a77a	9f93cd4d18c8e24c82b44f2b0438dc82d506c5a22f8f25038744bcdabb73975c	806dde0018643605d58f496261e48ca0950db5391463c887c24c3bb34e63e4b4	5803243	1818676	5410948	290645	8366
b1-14-command-providers	variant	a	canonical_fleet_coordinator	fleet_coordinator	3057836	1045538	2819929	187262	3881	3848	3848	804	803	7	6	43510	2	e930fec3fa56c1e7c32c899125bd2397c454942ba8b7b342394fa06b224833c6	b34e64b6f2ec5169cc1ee21b0401d62e7e3e7a4b3cb412b506150fb5304e984a	51fd22fd1e9c038d673fdabc6ea02881e12179199c73974f7d4637477e0d5c66	3252271	1018318	3011438	189453	4635
b1-14-command-providers	variant	a	canonical_wasm_store	wasm_store	2205970	803293	2017571	168608	3796	3757	3757	788	787	11	10	12459	5	c28231f1d7684bbf039c738a720174cc10a04b504ee2f4d8f52729dfe59ead49	f2e4c40aa944d4032e5cd4e66f2b3e184dc563334b15f8a4b9488cea67c0a3fd	89e2f95c4ac284c099e95d2102df8995e0f5332c50a85e3f3d2ffed918e16fa6	2348548	784826	2157306	170853	4385
b1-14-command-providers	variant	b	canonical_app	app	2850944	1022823	2615568	198750	4632	4595	4595	912	911	10	9	28177	4	11de861ead0659e25b6cdf118885ffd0436282b8559ec9c2ec37ae182727be0f	5783d090bc89b9b9240e0e3b318f74dd818b97a1e6fc7c5dedd1f6b1517424f0	23a46a416a5337268ac729a02ef9d53d350e2adc0fe847d5f80097f01acf48b8	3027625	1005170	2789031	201297	5291
b1-14-command-providers	variant	b	canonical_index_hub	index_hub	2496325	899991	2275111	185558	4093	4054	4054	831	830	10	9	27959	4	5ebd2997e4d3a06dd7a00c81d82cae21b91fd6026f640984fbd975db0f568d6c	2405f0c503303e675be389faa1de71a102af983f865af476f8a48750b06ae07a	f8dde730be71f9ddb0224dfb8f365685f2579d880cc37e98a6886b0535180c44	2655142	883032	2431160	187697	4729
b1-14-command-providers	variant	b	canonical_test	test	3160314	1121960	2904475	212781	5140	5101	5101	963	962	12	11	33804	6	a907d95ca994be0b060b5af70e228eaa91bbaf18199c68c3516ac779e98d1c85	0e8094ff3dc94022ab12d80c4e6e1d5aa1b47c520e158f782a6cccfc26dd568c	d11737484d3563127fb6cb9f76d439a9f3e72556e977f70733e7d338985a4ad6	3357936	1101128	3098835	215337	5850
b1-14-command-providers	variant	b	canonical_user_hub	user_hub	3245920	1155156	2991884	214036	5332	5293	5293	962	961	15	14	30421	9	55ff1d28271326fbc99fc6d78a2ed1b9d2369ef8c02c71f9453c3bdda079e021	712839166df4ae596c4b891143cd8ca731f2e1f4855186fe9e288f1e83df432f	905207f61736c3c53ed54fda3dd68252c44065199c26b194f2770d26368d4c16	3448093	1137267	3190708	216653	6068
b1-14-command-providers	variant	b	canonical_scale_hub	scale_hub	3167223	1124254	2916725	211632	5155	5116	5116	947	946	12	11	29665	6	3702426138fa8ac91d38fbb75596c26b53ea6fc7c397e95cb3c15d8b225c68ef	657e29ca41738c674904328d1c3abc27a94ca028d7df127664f9ffc8fed47347	a4f07b544ad72d4fbe8dae44d64578f016f6b68aa95d89e9795724ea2c9dd5cb	3366172	1106516	3112383	214209	5872
b1-14-command-providers	variant	b	canonical_index_child	index_child	2409092	870952	2191462	183511	3966	3927	3927	827	826	10	9	26552	4	fab08e286479f14a548309364475991f20fcd6e7c237f080e0aaf39d3eef172d	646d9926a86ddf63a349734c3bc0db57c154b571f01a285db3232d568b2ef3a3	e48c0cd06b2226b109bc232f10a3b0bfc2349974ac668fc26d28ae238da06b55	2561868	854489	2341427	185721	4575
b1-14-command-providers	variant	b	canonical_user_shard	user_shard	3160200	1120544	2906270	211323	5143	5104	5104	959	958	14	13	33290	8	80fc1d90810b441d29a1b066513f760035f69bf81b0f36d63c9725745495cbed	54da2d8882dade3e97cf0bfe2320db148a1fbbedffbd63dd1dad1a43d852994b	71ee0c358fad225f964aa71e01af12a3c08a72829c6fff189fc5d57d70698a96	3358034	1100194	3100803	213913	5858
b1-14-command-providers	variant	b	canonical_scale_replica	scale_replica	2861672	1028205	2625272	199112	4660	4623	4623	915	914	11	10	28760	5	15ff97cafa5b72c96cdbb35913f866e99e7c57ac072e04d7daaaba4c4a7844ff	db14309b52f1aa90077290bf0e342fcf42a23ab56f46db8d0fd5caf20c03367c	a908ffd66c6777c6e00f587e85a80ccbe09513f73dfc09433fefec93dec4a344	3038663	1010143	2799013	201689	5321
b1-14-command-providers	variant	b	canonical_root	root	5453516	1881454	5065322	287665	7233	7194	7194	1453	1452	12	11	88042	6	604a1e7e9778b6b5727aae21437be49d4a08fdc66d276af5b73203111893a77a	9f93cd4d18c8e24c82b44f2b0438dc82d506c5a22f8f25038744bcdabb73975c	806dde0018643605d58f496261e48ca0950db5391463c887c24c3bb34e63e4b4	5803243	1818676	5410948	290645	8366
b1-14-command-providers	variant	b	canonical_fleet_coordinator	fleet_coordinator	3057836	1045538	2819929	187262	3881	3848	3848	804	803	7	6	43510	2	e930fec3fa56c1e7c32c899125bd2397c454942ba8b7b342394fa06b224833c6	b34e64b6f2ec5169cc1ee21b0401d62e7e3e7a4b3cb412b506150fb5304e984a	51fd22fd1e9c038d673fdabc6ea02881e12179199c73974f7d4637477e0d5c66	3252271	1018318	3011438	189453	4635
b1-14-command-providers	variant	b	canonical_wasm_store	wasm_store	2205970	803293	2017571	168608	3796	3757	3757	788	787	11	10	12459	5	c28231f1d7684bbf039c738a720174cc10a04b504ee2f4d8f52729dfe59ead49	f2e4c40aa944d4032e5cd4e66f2b3e184dc563334b15f8a4b9488cea67c0a3fd	89e2f95c4ac284c099e95d2102df8995e0f5332c50a85e3f3d2ffed918e16fa6	2348548	784826	2157306	170853	4385
