experiment	condition	repetition	artifact_id	canister	wasm_bytes	gzip_bytes	code_section_bytes	data_section_bytes	ic_wasm_total_functions	replica_limited_defined_functions	optimizer_defined_functions	table_minimum	element_entries	wasm_export_entries	ic_wasm_exported_methods	candid_bytes	candid_service_methods	wasm_sha256	gzip_sha256	candid_sha256	optimizer_before_raw	optimizer_before_gzip	optimizer_before_code	optimizer_before_data	optimizer_before_functions
b1-09-candid-type-documentation	baseline	b	canonical_app	app	2886269	1038979	2649550	199991	4700	4663	4663	920	919	10	9	28177	4	51a3ca98b7da9d6b870127f40ad5d789cb70bcb1562ea2f8db2bef9dbfc1e841	0c0db2040684d2900a5ee471099ca8057e68fe0b782e26d7c4d3579b4b1bf1e5	23a46a416a5337268ac729a02ef9d53d350e2adc0fe847d5f80097f01acf48b8	3065898	1020221	2825943	202577	5357
b1-09-candid-type-documentation	baseline	b	canonical_index_hub	index_hub	2672278	960521	2444607	191610	4385	4346	4346	860	859	10	9	27959	4	4b2ea1d00399759759d609bf7f39ce71639388bb60308328e2985dda30c7dd27	1a45cf221c87ee07b1f6184b8d542303f2c0d55975ff42a2ad819ca7095b27bc	f8dde730be71f9ddb0224dfb8f365685f2579d880cc37e98a6886b0535180c44	2843118	943202	2612651	193761	5056
b1-09-candid-type-documentation	baseline	b	canonical_test	test	3201139	1140033	2943859	214104	5221	5182	5182	973	972	12	11	33804	6	4829d12e2a609f5c7d91cf018efa6ffdd15d2c89eb22bf8dd5120ace377cef24	82ac924bc0d09be6b4226463dad8a9fb3bfdd777885b3deb82950db558f864ea	d11737484d3563127fb6cb9f76d439a9f3e72556e977f70733e7d338985a4ad6	3402103	1119680	3141611	216629	5930
b1-09-candid-type-documentation	baseline	b	canonical_user_hub	user_hub	3329808	1188711	3071279	218272	5503	5464	5464	980	979	15	14	30421	9	e476a1edcb22247fd6952ebfa964feb6128272649f20f9216720aa5f93146cc7	d2b59445f92e382b7359001cd1bb6d506bccd67680493a8f2ccbbbd56a7aba50	905207f61736c3c53ed54fda3dd68252c44065199c26b194f2770d26368d4c16	3537615	1171672	3275805	220849	6244
b1-09-candid-type-documentation	baseline	b	canonical_scale_hub	scale_hub	3251126	1157718	2996134	215869	5327	5288	5288	965	964	12	11	29665	6	33697077b0d6997f1d56667501e4324bb53134bca78e6e3c6e3145a7b9694d04	c026b007fcc7009cd6dafb8c512dc329ffc68b84e20d7779c79e6625b8cd802b	a4f07b544ad72d4fbe8dae44d64578f016f6b68aa95d89e9795724ea2c9dd5cb	3455901	1141411	3197684	218405	6052
b1-09-candid-type-documentation	baseline	b	canonical_index_child	index_child	2443555	885988	2224620	184718	4035	3996	3996	837	836	10	9	26552	4	3c100e338f37daa2023d815b9b1b818c0291ec5602a3d7c809ef6c5013804fb1	b45f0652dfced3c1bbcc42dfd0ca409909f2617d5f96deddd5544ddfa172f0f9	e48c0cd06b2226b109bc232f10a3b0bfc2349974ac668fc26d28ae238da06b55	2599776	868573	2378085	186873	4653
b1-09-candid-type-documentation	baseline	b	canonical_user_shard	user_shard	3258180	1161367	3000456	214720	5377	5334	5334	977	976	14	13	33290	8	f4b49fc32389f1ddf7dfd2990e9c79e560044681b3fda184dca5b17713552e73	ffcef7958f60e08abb4cd5bb06acf50bd63d9eedb636da7234c9f1873e78b9ff	71ee0c358fad225f964aa71e01af12a3c08a72829c6fff189fc5d57d70698a96	3463028	1140774	3202050	217277	6093
b1-09-candid-type-documentation	baseline	b	canonical_scale_replica	scale_replica	2896997	1044057	2659254	200353	4728	4691	4691	923	922	11	10	28760	5	ebfd9d0fc1ac32707019a1507440ec57b6e934d7c229949e604da1cabc9e02c4	0f103e5d05a6544ad5cb3c0711f7dc50b3ac6105489a9063dab357ba7b1bd7be	a908ffd66c6777c6e00f587e85a80ccbe09513f73dfc09433fefec93dec4a344	3076808	1025032	2835925	202841	5387
b1-09-candid-type-documentation	baseline	b	canonical_root	root	7095874	2523431	6658524	333743	9632	9587	9587	1650	1649	12	11	88042	6	c8e89f553a7f97a26de95102ac034ff6b5ab8b59107f7a239f7efe969730e770	c3a3653fb39a6196aff0c41a3d77e1b8559b29c91bf77e5eb20bfafa11dc8a1d	806dde0018643605d58f496261e48ca0950db5391463c887c24c3bb34e63e4b4	7541500	2454675	7099559	336997	10971
b1-09-candid-type-documentation	baseline	b	canonical_fleet_coordinator	fleet_coordinator	3497977	1215587	3247309	199123	4497	4463	4463	883	882	7	6	43510	2	31938dac691e0021f94d732777bf3a4a8cc5092cf8909bd1efee360ee97b751b	56abd22cde777b67f0afb3fe9d0ba285c3f8b8c2d8572668a763d7079f683969	51fd22fd1e9c038d673fdabc6ea02881e12179199c73974f7d4637477e0d5c66	3721861	1182058	3468047	201465	5324
b1-09-candid-type-documentation	baseline	b	canonical_wasm_store	wasm_store	2452131	890084	2254620	177039	4283	4244	4244	840	839	11	10	12459	5	09b9f8790d2640aa35f0ce86c8f38b11e08dc7105a4a28dc92bc52015c730584	32064f855032859ca3feab8cf0efa982e9f6f009574f7eee4cb594d876d24da3	89e2f95c4ac284c099e95d2102df8995e0f5332c50a85e3f3d2ffed918e16fa6	2608460	870172	2408151	179229	4922
b1-09-candid-type-documentation	baseline	b	runtime_probe	test	2409482	873972	2198101	188732	4227	4188	4188	857	856	15	14	14496	9	5832077788b147dfed06a086f2f2de93cbdeeacc1cfb514566ba99b9fb53e9be	68e2a5b973d9f9a43729ed7a6bfb865092fb83f3fc9e73a7a27cd6d3364ba43f	39b18ad0b2589f36dd6b46cb1ae6704d83e6893fb224bda2daf189d952e1f96b	2566502	859579	2352082	191253	4774
b1-09-candid-type-documentation	baseline	b	payload_limit_probe	test	1987304	728338	1800078	171025	3541	3504	3504	749	748	12	11	9225	2	a4907f76b4fd4c213c525671657b2287d9d1725e2c1e9840693a32ee9eeb303b	9dc4fd122d791f90d52cbd2b301a84e5379762292fc629feb720b96a5da79065	fb5a55c930325f32d26ae91a49a6e47ebd3db4ea79290d07a21bb54d7ff6d0a9	2115167	714012	1925363	173133	4038
b1-09-candid-type-documentation	baseline	b	blob_storage_probe	test	2299125	834307	2092495	182113	3989	3950	3950	828	827	25	24	16015	19	2fb3b9a67c10f49b884f25e87eef346328ee1b106628d6c885616288067ac780	43bcd28034b9a83976450827e2748f9b1d36bfc8faf0dbcce58bfd78c866c4fd	607642a82f5792b88be3d15b0de7eb179b94a67bb290693700a62888a87a51a8	2446176	817740	2236858	184253	4549
b1-09-candid-type-documentation	variant	a	canonical_app	app	2848728	1025835	2627542	192051	4691	4654	4654	920	919	10	9	20595	4	d17c81b4f3b1c2223390e0e5554e575fe413c7cb13a139a14c0716fdcd8fe6df	0e54afdaff22620d7871ed3b4aef8cae51dc94bb1b99cfabe59af61061e1b143	13cee8a1c207da590fadf4e8f5c54d7b3fc767bba3e87e2897658d5645515f7a	3027969	1005611	2803543	194641	5346
b1-09-candid-type-documentation	variant	a	canonical_index_hub	index_hub	2638509	949666	2425494	184515	4377	4338	4338	860	859	10	9	20408	4	95b335455840deefa814e653e4df62e1cbd9e4de8c5a8e033c98d83bcf26efe4	5085a18488c5db1d0cbd7cb07fe75d0c71e3274620aadcd30ec8b3da90009a3f	414c7b5643d84fc62c3da0c9c53c9f48f57bc8ab9393b1ebc851986a7a4bca76	2809034	930123	2593169	186721	5045
b1-09-candid-type-documentation	variant	a	canonical_test	test	3161683	1125187	2921107	205598	5213	5174	5174	973	972	12	11	25616	6	bf099c8366aa58544f23e428bb4230c21e2ff8c83b582e2797548a291e1ed3cc	43379567748517802abc1b3e1f5a1f29db56ceb7c67f79ad8d87be7ab409f1f4	775aff5ea3ef8a0680d77fa9104c16f37c51a93d3fb452a9b5c87b28981ab9b8	3362282	1103970	3118437	208181	5919
b1-09-candid-type-documentation	variant	a	canonical_user_hub	user_hub	3292285	1174194	3049288	210332	5495	5456	5456	980	979	15	14	22839	9	6986503d0d16b5fed3389be4c3abcef1e9c94f97e36ab479be879e44135e4676	37d82007d7add879692a1519d872957833a35f2b5d019cbde41fb72efc1108cd	2cb505552c893a6bd0a023f1529ce24312fce1b825b6c32a13b9a704bfed791c	3499660	1157202	3253379	212913	6233
b1-09-candid-type-documentation	variant	a	canonical_scale_hub	scale_hub	3213561	1143255	2974100	207929	5319	5280	5280	965	964	12	11	22083	6	fadba4bc1b458a13dc3520740a8914f9e8760ea18124b2436cd7f5ff15e53996	8290155e755c0848081e55adf850e27bc5f1d149271bdf714286a568ec980612	8f89bdf65c34ccb4f17b525dd853f2db3dbcfb7af5a8755d0dd1de3968a203c4	3417918	1126348	3175230	210469	6041
b1-09-candid-type-documentation	variant	a	canonical_index_child	index_child	2409843	874743	2205565	177622	4027	3988	3988	837	836	10	9	19001	4	50098cbfc6db034dbbc2e4efcb67917cfded466b1aba5efded81ab852252b428	9c32e80b9825b47ec38e59396c8975864451cfeaea676abe6a73ada49da31c1f	75a563cecf2b474ee70cc954634b343813d07eec3e5ca27525f4a8691bd8ac00	2565734	856384	2358645	179833	4642
b1-09-candid-type-documentation	variant	a	canonical_user_shard	user_shard	3220658	1146894	2978474	206772	5369	5326	5326	977	976	14	13	25708	8	fb097f5dcb76ae6e05e2349d1855d24868cecaf3e2886c048e8504b7bea3174d	3b5e9e8f91280a3ce964eb527a33146d5498ee085b58df2d30b8a7a7bb632a2b	1e8521887d5531f563791fd491c038be824863ebbde61d4b4b9dbcbc051dafae	3425093	1126161	3179644	209341	6082
b1-09-candid-type-documentation	variant	a	canonical_scale_replica	scale_replica	2859456	1030509	2637246	192413	4719	4682	4682	923	922	11	10	21178	5	0c4418d73272a1fe7965c6b55370d0b59fb47acd0085c12627aa9f6085bd4768	827fb3ce50177ae5037fb4b54f2d416ce5175a2b08a3d087fc6f4f7eb1f2ae67	9b3a32adac6ba0a9ce10344f6d6ff1db53acc7474f77dc1a8d55501537b67c75	3038879	1010440	2813525	194905	5376
b1-09-candid-type-documentation	variant	a	canonical_root	root	6996001	2490643	6604744	308834	9626	9581	9581	1650	1649	12	11	66878	6	c7e84cdbd5639a150a6c096c139ecdd139ba79a8f77fb868a90cc8f21137ba27	595568fd8b7236c0f9b7cad0f40b638e6d4cc84e48ac67b34b0c3aecdc83ea81	74c611cf3625afe4c0e6cfc79a39529cc0ccfe5512d7363811af35e79c85606a	7441268	2415755	7045333	312165	10961
b1-09-candid-type-documentation	variant	a	canonical_fleet_coordinator	fleet_coordinator	3452762	1198654	3217926	183298	4490	4456	4456	883	882	7	6	43510	2	f19526e3e841c1a623dd1e3b9197a40ca561d5ac85c76443b6abbf738a280711	a700413789e826df5871a3b61af8758f64bfdc63c88df151671dbdec0fe9cacf	51fd22fd1e9c038d673fdabc6ea02881e12179199c73974f7d4637477e0d5c66	3675647	1165291	3437713	185593	5316
b1-09-candid-type-documentation	variant	a	canonical_wasm_store	wasm_store	2436370	883173	2244824	173166	4284	4245	4245	840	839	11	10	10354	5	7a8dd125d9b5266a2430addd29256a3110a6fa15c63a631f24ac843795412b08	782539256f689827e5e826b714ebe98351054fe839922fcc601553ac032b1d10	2619011418b523d059c1d3f19cc0866e93821f9df212d117680db80fde0ab025	2593017	864054	2398654	175389	4921
b1-09-candid-type-documentation	variant	a	runtime_probe	test	2394967	867591	2188877	185032	4228	4189	4189	857	856	15	14	12906	9	92c66b2ad93c02d4d2d3aae128971ebdfd2f379530ad806d4a1a333220ee69d9	45a1a7d14f68ba6b595a1f4c877c98d134396191e7c4cace0a0851fb27bdf867	768e589b1f5d33ae2b34da7c65c1a0f0528c4d4611d4a86374aaa1afd0a771c8	2551954	852777	2342836	187541	4774
b1-09-candid-type-documentation	variant	a	payload_limit_probe	test	1972836	722906	1790846	167313	3542	3505	3505	749	748	12	11	7702	2	88158f49c7beb28b7b27751f52f76095dd722233679110588f05dbc2f15d4282	7896738feb9c65b9c3901b5cc8adb9b0ae6d31ef3b77ab5d421fcd0d275da438	652fc2629435052ae45fb7eb20fccced470c70b53b633542ec9f093edfb7377e	2100662	707943	1916093	169421	4038
b1-09-candid-type-documentation	variant	a	blob_storage_probe	test	2276752	826913	2078275	176825	3990	3951	3951	828	827	25	24	13151	19	96ca492bc59d58fc6426409a752522c1e57ef4c1ec10018d7d0ef4dc998f9f68	a97e12796d79863aed29048549bffbe9e2223a430b5320f3f6c75033690dc52c	fec70c0e3000a55ae49d278f47dfb9627949ca2b685d14f7fa31778eaf197528	2423695	808793	2222489	179005	4549
b1-09-candid-type-documentation	variant	b	canonical_app	app	2848728	1025835	2627542	192051	4691	4654	4654	920	919	10	9	20595	4	d17c81b4f3b1c2223390e0e5554e575fe413c7cb13a139a14c0716fdcd8fe6df	0e54afdaff22620d7871ed3b4aef8cae51dc94bb1b99cfabe59af61061e1b143	13cee8a1c207da590fadf4e8f5c54d7b3fc767bba3e87e2897658d5645515f7a	3027969	1005611	2803543	194641	5346
b1-09-candid-type-documentation	variant	b	canonical_index_hub	index_hub	2638509	949666	2425494	184515	4377	4338	4338	860	859	10	9	20408	4	95b335455840deefa814e653e4df62e1cbd9e4de8c5a8e033c98d83bcf26efe4	5085a18488c5db1d0cbd7cb07fe75d0c71e3274620aadcd30ec8b3da90009a3f	414c7b5643d84fc62c3da0c9c53c9f48f57bc8ab9393b1ebc851986a7a4bca76	2809034	930123	2593169	186721	5045
b1-09-candid-type-documentation	variant	b	canonical_test	test	3161683	1125187	2921107	205598	5213	5174	5174	973	972	12	11	25616	6	bf099c8366aa58544f23e428bb4230c21e2ff8c83b582e2797548a291e1ed3cc	43379567748517802abc1b3e1f5a1f29db56ceb7c67f79ad8d87be7ab409f1f4	775aff5ea3ef8a0680d77fa9104c16f37c51a93d3fb452a9b5c87b28981ab9b8	3362282	1103970	3118437	208181	5919
b1-09-candid-type-documentation	variant	b	canonical_user_hub	user_hub	3292285	1174194	3049288	210332	5495	5456	5456	980	979	15	14	22839	9	6986503d0d16b5fed3389be4c3abcef1e9c94f97e36ab479be879e44135e4676	37d82007d7add879692a1519d872957833a35f2b5d019cbde41fb72efc1108cd	2cb505552c893a6bd0a023f1529ce24312fce1b825b6c32a13b9a704bfed791c	3499660	1157202	3253379	212913	6233
b1-09-candid-type-documentation	variant	b	canonical_scale_hub	scale_hub	3213561	1143255	2974100	207929	5319	5280	5280	965	964	12	11	22083	6	fadba4bc1b458a13dc3520740a8914f9e8760ea18124b2436cd7f5ff15e53996	8290155e755c0848081e55adf850e27bc5f1d149271bdf714286a568ec980612	8f89bdf65c34ccb4f17b525dd853f2db3dbcfb7af5a8755d0dd1de3968a203c4	3417918	1126348	3175230	210469	6041
b1-09-candid-type-documentation	variant	b	canonical_index_child	index_child	2409843	874743	2205565	177622	4027	3988	3988	837	836	10	9	19001	4	50098cbfc6db034dbbc2e4efcb67917cfded466b1aba5efded81ab852252b428	9c32e80b9825b47ec38e59396c8975864451cfeaea676abe6a73ada49da31c1f	75a563cecf2b474ee70cc954634b343813d07eec3e5ca27525f4a8691bd8ac00	2565734	856384	2358645	179833	4642
b1-09-candid-type-documentation	variant	b	canonical_user_shard	user_shard	3220658	1146894	2978474	206772	5369	5326	5326	977	976	14	13	25708	8	fb097f5dcb76ae6e05e2349d1855d24868cecaf3e2886c048e8504b7bea3174d	3b5e9e8f91280a3ce964eb527a33146d5498ee085b58df2d30b8a7a7bb632a2b	1e8521887d5531f563791fd491c038be824863ebbde61d4b4b9dbcbc051dafae	3425093	1126161	3179644	209341	6082
b1-09-candid-type-documentation	variant	b	canonical_scale_replica	scale_replica	2859456	1030509	2637246	192413	4719	4682	4682	923	922	11	10	21178	5	0c4418d73272a1fe7965c6b55370d0b59fb47acd0085c12627aa9f6085bd4768	827fb3ce50177ae5037fb4b54f2d416ce5175a2b08a3d087fc6f4f7eb1f2ae67	9b3a32adac6ba0a9ce10344f6d6ff1db53acc7474f77dc1a8d55501537b67c75	3038879	1010440	2813525	194905	5376
b1-09-candid-type-documentation	variant	b	canonical_root	root	6996001	2490643	6604744	308834	9626	9581	9581	1650	1649	12	11	66878	6	c7e84cdbd5639a150a6c096c139ecdd139ba79a8f77fb868a90cc8f21137ba27	595568fd8b7236c0f9b7cad0f40b638e6d4cc84e48ac67b34b0c3aecdc83ea81	74c611cf3625afe4c0e6cfc79a39529cc0ccfe5512d7363811af35e79c85606a	7441268	2415755	7045333	312165	10961
b1-09-candid-type-documentation	variant	b	canonical_fleet_coordinator	fleet_coordinator	3452762	1198654	3217926	183298	4490	4456	4456	883	882	7	6	43510	2	f19526e3e841c1a623dd1e3b9197a40ca561d5ac85c76443b6abbf738a280711	a700413789e826df5871a3b61af8758f64bfdc63c88df151671dbdec0fe9cacf	51fd22fd1e9c038d673fdabc6ea02881e12179199c73974f7d4637477e0d5c66	3675647	1165291	3437713	185593	5316
b1-09-candid-type-documentation	variant	b	canonical_wasm_store	wasm_store	2436370	883173	2244824	173166	4284	4245	4245	840	839	11	10	10354	5	7a8dd125d9b5266a2430addd29256a3110a6fa15c63a631f24ac843795412b08	782539256f689827e5e826b714ebe98351054fe839922fcc601553ac032b1d10	2619011418b523d059c1d3f19cc0866e93821f9df212d117680db80fde0ab025	2593017	864054	2398654	175389	4921
b1-09-candid-type-documentation	variant	b	runtime_probe	test	2394967	867591	2188877	185032	4228	4189	4189	857	856	15	14	12906	9	92c66b2ad93c02d4d2d3aae128971ebdfd2f379530ad806d4a1a333220ee69d9	45a1a7d14f68ba6b595a1f4c877c98d134396191e7c4cace0a0851fb27bdf867	768e589b1f5d33ae2b34da7c65c1a0f0528c4d4611d4a86374aaa1afd0a771c8	2551954	852777	2342836	187541	4774
b1-09-candid-type-documentation	variant	b	payload_limit_probe	test	1972836	722906	1790846	167313	3542	3505	3505	749	748	12	11	7702	2	88158f49c7beb28b7b27751f52f76095dd722233679110588f05dbc2f15d4282	7896738feb9c65b9c3901b5cc8adb9b0ae6d31ef3b77ab5d421fcd0d275da438	652fc2629435052ae45fb7eb20fccced470c70b53b633542ec9f093edfb7377e	2100662	707943	1916093	169421	4038
b1-09-candid-type-documentation	variant	b	blob_storage_probe	test	2276752	826913	2078275	176825	3990	3951	3951	828	827	25	24	13151	19	96ca492bc59d58fc6426409a752522c1e57ef4c1ec10018d7d0ef4dc998f9f68	a97e12796d79863aed29048549bffbe9e2223a430b5320f3f6c75033690dc52c	fec70c0e3000a55ae49d278f47dfb9627949ca2b685d14f7fa31778eaf197528	2423695	808793	2222489	179005	4549
